year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi
1961,-0.30309595194729894,-0.47090907313606944,-0.15090909654443913,-1.7750989523800937,-2.2468182260339917,-0.9336363619024104,-0.8129214113408869,-1.0309091264551342,-0.606363677978516,-1.8097164630889897,-2.007074603167447,-1.6138897223906084,1.2891678848049857,0.7404545285485007,1.8218181041153998,-4.593547354659224,0.8090788977612551,,
1962,-0.29754404154690833,-0.4559091112830421,-0.15090909654443913,-1.6921268072995277,-2.1568182641809637,-0.8536363428289244,-0.7267779176885429,-0.945909088308161,-0.5213636398315429,-1.6807960987091066,-1.8870802489193996,-1.559993581338362,1.21245565793731,0.6804545380852439,1.7368182567032897,-4.7832616179935,0.7705047075286721,,
1963,-0.29218482104214755,-0.4459090731360694,-0.15090909654443913,-1.6561305609616364,-2.1068182641809634,-0.8636363809758962,-0.7027726953679869,-0.9059091264551341,-0.5013636589050288,-1.8142593860626226,-2.048039492693814,-1.644145421548323,1.2127272643826223,0.6704545357010581,1.7368182567032897,-4.741207803944308,0.8046800748241871,,
1964,-0.28678678599270907,-0.43590913035652845,-0.15090909654443913,-1.6563836661252114,-2.126818149740046,-0.9236363237554372,-0.6994616335088559,-0.9009090120142161,-0.5013636589050288,-2.048475503921509,-2.1148668852719386,-1.8270038886503743,1.1920999564907768,0.6854545333168722,1.6918181804093446,-5.147275527638862,0.8105096511874841,,
1965,-0.281308260830966,-0.42590909220955575,-0.14590910131281076,-1.6436187354001133,-2.1218182260339917,-0.9336363619024104,-0.656011277979071,-0.8559091264551341,-0.4613636016845699,-2.089956521987914,-2.108756503191861,-2.001657132668929,1.084722904183648,0.625454536893151,1.5418181804093447,-4.5376163909647005,0.792268330551748,,
1966,-0.27591704455288973,-0.41090913035652843,-0.14590910131281076,-1.6075242606076325,-2.0618181878870185,-0.9186364000493834,-0.5829888170415709,-0.7909090692346751,-0.39136362075805653,-2.034507989883423,-1.9696604338559236,-2.105542211099105,1.0077950992367484,0.5604545392773368,1.4468181994828306,-5.147061003775025,0.778539105907481,,
1967,-0.2704956444826994,-0.40090909220955573,-0.14590910131281076,-1.5743239966305826,-2.0368181878870186,-0.9186364000493834,-0.5461797540838069,-0.7509091073816471,-0.35636367797851554,-2.1567160129547114,-2.183862551775846,-2.092444448037581,0.9117425956509331,0.475454536893151,1.3268182185563178,-5.168768370944515,0.7576747111891023,,
1968,-0.2649793061343107,-0.39090905406258314,-0.14090908223932436,-1.5531613913449376,-2.0068182641809638,-0.8886363809758964,-0.4902192896062678,-0.6859090501611881,-0.3063636779785155,-2.3616812229156494,-2.4929777708920575,-2.3941875739531078,0.731750444390557,0.3304545380852439,1.1318181422623717,-5.371642008513516,0.7394144806846384,,
1969,-0.2596308144656095,-0.38090911128304206,-0.14090908223932436,-1.5060065833005045,-1.9468182260339915,-0.8536363428289244,-0.4493830507451839,-0.645909088308161,-0.26636362075805653,-2.2940184116363525,-2.4115595427426433,-2.268512372537093,0.790403894402764,0.4154545404694297,1.1568181422623716,-5.340070319460355,0.7437744390747565,,
1970,-0.25425337878140536,-0.37090907313606947,-0.14090908223932436,-1.4767449942502116,-1.9018181497400457,-0.8486363237554373,-0.43406332189386587,-0.6259091073816471,-0.2613636016845702,-2.2299360752105715,-2.3305739012631497,-2.117861012978987,0.6782726325772026,0.32545454285361547,1.0268182185563173,-5.362510923261866,0.7504352922493045,,
