"Description: This spreadsheet contains the IMBIE-2019 dataset for Greenland, which includes data on the annual rate of change and cumulative change in Greenland’s ice sheet mass, its surface mass balance and ice discharge anomalies, and their estimated uncertainty. The data are expressed in units of equivalent mean global sea level rise (millimetres per year – columns B, C, F, G, J and K, and millimetres – columns D, E, H, I, L and M).	",,,,,,,,,,,,
Source: http://imbie.org/data-downloads/,,,,,,,,,,,,
"Publication: The IMBIE Team, Mass balance of the Greenland Ice Sheet from 1992 to 2018. Nature, (2019)",,,,,,,,,,,,
"Downloaded: May 23, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
2000.67,0.1404252220765980000000,0.2188948814746530000000,0.8196703447310010000000,0.5694191728809670000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1765450604742220000000,0.9859748798985600000000,0.1436719130404870000000,0.3118651996642810000000,1.0750245628593900000000,0.8627419924422860000000
2000.75,0.1404252220765980000000,0.2188948814746530000000,0.8313724465707180000000,0.5729145735090830000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1768156180545460000000,0.9880579646929280000000,0.1436719130404870000000,0.3118651996642810000000,1.0869972222794300000000,0.8674265026041620000000
2000.83,0.1404252220765980000000,0.2188948814746530000000,0.8430745484104340000000,0.5763887773315380000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1770861756348700000000,0.9901366670289950000000,0.1436719130404870000000,0.3118651996642810000000,1.0989698816994700000000,0.8720858497400890000000
2000.92,0.1404252220765980000000,0.2188948814746530000000,0.8547766502501510000000,0.5798421653591560000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1773567332151940000000,0.9922110144507770000000,0.1436719130404870000000,0.3118651996642810000000,1.1109425411195100000000,0.8767204350382710000000
2001.00,0.1489938757655290000000,0.2186956281633860000000,0.8671928065639450000000,0.5832688787142200000000,0.1059574905083330000000,0.2209310915888890000000,-0.1685269423395000000000,0.9942586397914750000000,0.0430363852571960000000,0.3108670535911380000000,1.1145289065576100000000,0.8813012623186230000000
2001.08,0.1489938757655290000000,0.2186956281633860000000,0.8796089628777390000000,0.5866755773207980000000,0.1059574905083330000000,0.2209310915888890000000,-0.1596971514638050000000,0.9963020568093540000000,0.0430363852571960000000,0.3108670535911380000000,1.1181152719957100000000,0.8858584021812410000000
2001.17,0.1489938757655290000000,0.2186956281633860000000,0.8920251191915330000000,0.5900626078416080000000,0.1059574905083330000000,0.2209310915888890000000,-0.1508673605881110000000,0.9983412913453510000000,0.0430363852571960000000,0.3108670535911380000000,1.1217016374338100000000,0.8903922183317890000000
2001.25,0.1489938757655290000000,0.2186956281633860000000,0.9044412755053280000000,0.5934303070462340000000,0.1059574905083330000000,0.2209310915888890000000,-0.1420375697124160000000,1.0003763689770300000000,0.0430363852571960000000,0.3108670535911380000000,1.1252880028719100000000,0.8949030652626620000000
2001.33,0.1489938757655290000000,0.2186956281633860000000,0.9168574318191220000000,0.5967790022019340000000,0.1059574905083330000000,0.2209310915888890000000,-0.1332077788367220000000,1.0024073150223000000000,0.0430363852571960000000,0.3108670535911380000000,1.1288743683100100000000,0.8993912885764520000000
2001.42,0.1489938757655290000000,0.2186956281633860000000,0.9292735881329160000000,0.6001090114448240000000,0.1059574905083330000000,0.2209310915888890000000,-0.1243779879610270000000,1.0044341545431300000000,0.0430363852571960000000,0.3108670535911380000000,1.1324607337481100000000,0.9038572252949650000000
2001.50,0.0903980752405949000000,0.2186956281633860000000,0.9368067610696320000000,0.6034206441326250000000,0.1059574905083330000000,0.2209310915888890000000,-0.1155481970853330000000,1.0064569123491200000000,-0.0155594152677384000000,0.3108670535911380000000,1.1311641158091300000000,0.9083012041545560000000
2001.58,0.0903980752405949000000,0.2186956281633860000000,0.9443399340063480000000,0.6067142011800780000000,0.1059574905083330000000,0.2209310915888890000000,-0.1067184062096390000000,1.0084756130010700000000,-0.0155594152677384000000,0.3108670535911380000000,1.1298674978701500000000,0.9127235458885230000000
2001.67,0.0903980752405949000000,0.2186956281633860000000,0.9518731069430640000000,0.6099899753780620000000,0.1059574905083330000000,0.2209310915888890000000,-0.0978886153339441000000,1.0104902808144300000000,-0.0155594152677384000000,0.3108670535911380000000,1.1285708799311800000000,0.9171245634972510000000
2001.75,0.0903980752405949000000,0.2186956281633860000000,0.9594062798797800000000,0.6132482516973670000000,0.1059574905083330000000,0.2209310915888890000000,-0.0890588244582497000000,1.0125009398627700000000,-0.0155594152677384000000,0.3108670535911380000000,1.1272742619922000000000,0.9215045625067330000000
2001.83,0.0903980752405949000000,0.2186956281633860000000,0.9669394528164970000000,0.6164893075780180000000,0.1059574905083330000000,0.2209310915888890000000,-0.0802290335825552000000,1.0145076139810600000000,-0.0155594152677384000000,0.3108670535911380000000,1.1259776440532200000000,0.9258638412160980000000
2001.92,0.0903980752405949000000,0.2186956281633860000000,0.9744726257532130000000,0.6197134132049850000000,0.1059574905083330000000,0.2209310915888890000000,-0.0713992427068608000000,1.0165103267690400000000,-0.0155594152677384000000,0.3108670535911380000000,1.1246810261142400000000,0.9302026909346860000000
2002.00,0.3162948381452320000000,0.2186956281633860000000,1.0008305289319800000000,0.6229208317710370000000,0.1431518982516670000000,0.2131451230333330000000,-0.0594699178525552000000,1.0183708303220600000000,0.1731429398935650000000,0.3053827455025460000000,1.1391096044387000000000,0.9343706962405340000000
2002.08,0.3162948381452320000000,0.2186956281633860000000,1.0271884321107500000000,0.6261118197274900000000,0.1431518982516670000000,0.2131451230333330000000,-0.0475405929982497000000,1.0202279410374800000000,0.1731429398935650000000,0.3053827455025460000000,1.1535381827631700000000,0.9385201914524320000000
2002.17,0.3162948381452320000000,0.2186956281633860000000,1.0535463352895200000000,0.6292866270235030000000,0.1431518982516670000000,0.2131451230333330000000,-0.0356112681439441000000,1.0220816774095500000000,0.1731429398935650000000,0.3053827455025460000000,1.1679667610876300000000,0.9426514210113940000000
2002.25,0.3162948381452320000000,0.2186956281633860000000,1.0799042384682900000000,0.6324454973345650000000,0.1431518982516670000000,0.2131451230333330000000,-0.0236819432896385000000,1.0239320577651000000000,0.1731429398935650000000,0.3053827455025460000000,1.1823953394121000000000,0.9467646240252590000000
2002.33,0.3162948381452320000000,0.2186956281633860000000,1.1062621416470600000000,0.6355886682807630000000,0.1431518982516670000000,0.2131451230333330000000,-0.0117526184353329000000,1.0257791002656500000000,0.1731429398935650000000,0.3053827455025460000000,1.1968239177365600000000,0.9508600344301880000000
2002.42,0.3162948381452320000000,0.2186956281633860000000,1.1326200448258300000000,0.6387163716353770000000,0.1431518982516670000000,0.2131451230333330000000,0.0001767064189726200000,1.0276228229095300000000,0.1731429398935650000000,0.3053827455025460000000,1.2112524960610200000000,0.9549378811459240000000
